Source.Name,window,start_time_ms,time_mean_x,time_sd_x,time_rms_x,time_kurtosis_x,time_crest_x,fft_max_x,fft_rms_x,spectral_centroid_x,spectral_entropy_x,time_mean_y,time_sd_y,time_rms_y,time_kurtosis_y,time_crest_y,fft_max_y,fft_rms_y,spectral_centroid_y,spectral_entropy_y,time_mean_z,time_sd_z,time_rms_z,time_kurtosis_z,time_crest_z,fft_max_z,fft_rms_z,spectral_centroid_z,spectral_entropy_z,type
healthy3.csv,27,21458,-0.012168902,0.1420239,0.142544275,1.190723209,3.266185185,6.117322861,2.286767449,122.7369327,5.984400368,0.043179539,0.141359644,0.14780738,-0.156736318,3.59915722,15.11007255,2.423593345,122.656189,4.536016572,1.033240324,0.121446327,1.040353199,-0.07119281,1.352408011,264.509523,23.46005323,37.56930555,0.083684736,healthy
healthy3.csv,28,22146,-0.012773512,0.143891606,0.144457457,1.639569292,3.684316565,6.300089085,2.314810093,120.3716352,6.090085193,0.04647159,0.133772627,0.141614704,-0.208750503,2.896281167,14.91265891,2.380539664,124.1152787,4.320909871,1.038690559,0.107886808,1.044278526,-0.369417203,1.258718787,265.904783,23.56617791,37.13458207,0.06989819,healthy
healthy3.csv,29,22835,-0.016841863,0.143190569,0.144177625,2.623754345,5.232399972,6.761986749,2.322354077,121.915396,6.224225274,0.046473535,0.138065909,0.145677674,-0.680678857,2.753496729,17.62054839,2.442803227,126.0122166,3.991566369,1.039597508,0.112642282,1.045682199,-0.320070373,1.293217959,266.136962,23.59228083,37.66773244,0.075373197,healthy
healthy3.csv,30,23524,-0.014462457,0.150680872,0.151373339,2.332225888,4.046610877,6.424875786,2.428366045,121.7455442,6.108873618,0.042667402,0.144378203,0.150550897,-0.551249496,2.928697258,17.65898963,2.503674128,125.8271762,4.221644974,1.034329418,0.124406385,1.041784188,-0.665460849,1.288916664,264.788331,23.48865579,39.33809382,0.088135735,healthy
healthy3.csv,31,24213,-0.009531996,0.164472914,0.164748895,1.819201942,3.681026202,6.36148579,2.605311318,128.035489,6.192745969,0.04514027,0.146811061,0.153594048,-0.360377725,2.972400333,16.44509169,2.541845606,122.7348933,4.376222788,1.03619957,0.118519166,1.04295558,-0.127388944,1.31345287,265.26709,23.52306398,38.5915223,0.083074947,healthy
healthy3.csv,32,24901,-0.014281281,0.154387637,0.155046759,1.408407371,4.040490774,6.370590926,2.491019765,131.5613995,6.304644751,0.045181262,0.139766046,0.146887352,-0.759409816,2.654367417,17.08012749,2.458805315,128.1371695,4.048924722,1.034633633,0.11376997,1.040870002,-0.423045947,1.308343979,264.86621,23.48174901,36.17604868,0.075398173,healthy
healthy3.csv,33,25590,-0.022464734,0.146966501,0.148673524,1.002889097,3.120037695,5.788828176,2.404867931,122.457006,6.319688033,0.039044379,0.155913803,0.160728272,-0.649370556,2.908816194,19.32734084,2.638545054,126.5183378,4.035210081,1.035244941,0.123565655,1.04259319,-0.744095831,1.268481334,265.022705,23.50815904,36.74526095,0.084445368,healthy
healthy3.csv,34,26279,-0.011098855,0.147526955,0.147943864,1.554828236,4.399499786,5.346387046,2.36354807,131.4763196,6.243073481,0.048714625,0.141029256,0.149205783,-0.676823585,2.536215361,15.34947038,2.507874575,126.4480075,4.438936642,1.037549973,0.113892204,1.043782247,-0.520753948,1.300483893,265.612793,23.54768726,37.35443639,0.075677978,healthy
healthy3.csv,35,26967,-0.009336434,0.161272976,0.161543003,2.792078427,4.32081852,6.050167407,2.587572579,127.1749815,6.183409869,0.04848384,0.136951022,0.145279954,-0.595505176,2.524085321,15.80532368,2.446195566,124.985232,4.331387594,1.035787578,0.106049105,1.041202343,-0.153673604,1.305581964,265.16162,23.49844133,36.60551999,0.06713484,healthy
healthy3.csv,36,27656,-0.018422137,0.147195458,0.148343783,1.661588913,3.693124087,5.607859886,2.353309861,124.2235398,6.330599827,0.04560566,0.14092641,0.148122008,-0.491060684,2.731133642,16.13111586,2.475502526,125.7559348,4.312699967,1.036692602,0.112350037,1.042762716,-0.488125781,1.2687431,265.393306,23.52644504,36.82497951,0.075266547,healthy
healthy3.csv,37,28344,-0.01830293,0.139552411,0.140747549,3.132692051,4.513428507,6.138879388,2.266905196,123.5583308,6.243848559,0.043963449,0.146022401,0.152496972,-0.40922106,3.035411081,17.29654039,2.536124381,119.6325414,4.224055433,1.036546738,0.121880176,1.043687653,-0.468627155,1.309724222,265.355965,23.53529373,37.95798879,0.085000933,healthy
healthy3.csv,38,29033,-0.022981645,0.14401467,0.145836831,2.35055233,3.970889904,6.235535295,2.345697894,117.0478554,6.054630404,0.040104863,0.145832261,0.151246317,-0.553493055,2.82322247,14.86200961,2.486414732,127.1757873,4.572018696,1.035096219,0.118616359,1.041870444,-0.250859222,1.33872211,264.984632,23.49831051,38.65476571,0.083932162,healthy
healthy3.csv,39,29722,-0.011540418,0.159803983,0.160220143,1.112671441,3.874980947,6.399843952,2.544222487,123.9367513,6.160442161,0.045800203,0.14411322,0.151216,-0.795839957,2.350736694,16.13581517,2.512819678,121.5980633,4.343401977,1.036539074,0.117301114,1.043155216,-0.474259006,1.329584495,265.354003,23.52916884,36.15735195,0.080473466,healthy
healthy3.csv,40,30411,-0.016214344,0.154746101,0.155593254,2.074527198,4.831244152,6.347952175,2.48991161,125.2091166,6.24560721,0.045835484,0.147480289,0.154438749,-0.457143148,3.09841929,17.99027695,2.566359655,126.6401696,4.136454079,1.035115234,0.122294995,1.042314547,-0.704257358,1.315666182,264.9895,23.5035251,36.35183839,0.084668315,healthy
healthy3.csv,41,31100,-0.014755234,0.145807859,0.146552546,1.999933378,4.761118231,6.262162539,2.343417372,125.1089802,6.176049178,0.044963852,0.141669616,0.148633872,-0.290621553,2.963187286,17.17538264,2.476987446,121.8481054,4.111234906,1.037250551,0.120051486,1.044174825,-0.189298052,1.335066664,265.536141,23.54869438,37.10322899,0.081554506,healthy
healthy3.csv,42,31788,-0.01375484,0.163837485,0.16441386,2.754596304,4.049360568,8.002085927,2.616523766,125.3784314,6.070944932,0.04720116,0.128373325,0.136775949,-0.343236174,3.334321604,13.45732578,2.31479591,122.4253471,4.524008953,1.036965352,0.111610096,1.042954435,-0.180603678,1.337565624,265.46313,23.53162571,34.46906461,0.073670106,healthy
